role,company,city,experience,education,salary,salary_lpa,skills,primary_skill,posted_days_ago,quarter,growth_rate,demand_score
BI Developer,IBM India,Hyderabad,Fresher (0-1 yr),MBA,417858,4.2,Excel|Azure|SQL,Excel,150,Q1 2026,15,80
Data Scientist,Mu Sigma,Bangalore,Fresher (0-1 yr),B.Tech,601584,6.0,PyTorch|Python|TensorFlow,PyTorch,60,Q2 2026,28,95
Data Scientist,Zomato,Hyderabad,Fresher (0-1 yr),BCA,522252,5.2,Deep Learning|Machine Learning|SQL|PyTorch|Scikit-learn,Deep Learning,24,Q2 2026,28,95
Data Analyst,Flipkart,Hyderabad,Junior (1-3 yrs),MSc,581025,5.8,SQL|Tableau|R|Statistics|Python,SQL,86,Q1 2026,22,92
BI Developer,Accenture,Bangalore,Fresher (0-1 yr),M.Tech,397953,4.0,Tableau|SQL|DAX,Tableau,118,Q1 2026,15,80
Data Scientist,Swiggy,Gurgaon,Mid (3-5 yrs),MSc,995101,10.0,Machine Learning|Python|PyTorch|TensorFlow|Scikit-learn,Machine Learning,23,Q2 2026,28,95
AI/ML Researcher,Cognizant,Noida,Junior (1-3 yrs),M.Tech,966487,9.7,Mathematics|Generative AI|Python,Mathematics,42,Q2 2026,42,98
Python Developer,Capgemini,Kolkata,Senior (5+ yrs),MSc,1101702,11.0,SQL|REST APIs|Docker|AWS,SQL,169,Q1 2026,24,89
Product Analyst,Deloitte,Bangalore,Fresher (0-1 yr),B.Tech,554925,5.5,Excel|A/B Testing|SQL|Power BI|Mixpanel,Excel,12,Q2 2026,20,85
Data Engineer,Mphasis,Hyderabad,Junior (1-3 yrs),B.Tech,710887,7.1,SQL|Hadoop|ETL|Python|AWS,SQL,172,Q4 2025,30,93
BI Developer,Hexaware,Hyderabad,Junior (1-3 yrs),BCA,605629,6.1,Power BI|Excel|Azure|Tableau|DAX,Power BI,149,Q1 2026,15,80
Data Engineer,Capgemini,Bangalore,Fresher (0-1 yr),BSc,615269,6.2,Airflow|Spark|ETL|SQL,Airflow,171,Q4 2025,30,93
QA Engineer,EXL Service,Hyderabad,Senior (5+ yrs),B.Tech,817703,8.2,API Testing|Git|Selenium|SQL,API Testing,137,Q1 2026,10,72
Data Scientist,Microsoft India,Bangalore,Senior (5+ yrs),MCA,1799449,18.0,TensorFlow|Machine Learning|SQL|Deep Learning,TensorFlow,180,Q4 2025,28,95
Python Developer,Genpact,Kolkata,Mid (3-5 yrs),B.Tech,704458,7.0,SQL|Docker|Python|Django|FastAPI,SQL,29,Q2 2026,24,89
BI Developer,Tech Mahindra,Mumbai,Junior (1-3 yrs),BCA,537625,5.4,SSRS|DAX|SQL,SSRS,175,Q4 2025,15,80
QA Engineer,Razorpay,Bangalore,Junior (1-3 yrs),MSc,630773,6.3,Selenium|SQL|Manual Testing,Selenium,70,Q2 2026,10,72
Data Analyst,Tech Mahindra,Bangalore,Mid (3-5 yrs),MBA,976809,9.8,Tableau|Excel|Statistics,Tableau,180,Q4 2025,22,92
ML Engineer,Wipro,Bangalore,Senior (5+ yrs),BSc,2221410,22.2,Python|AWS|PyTorch,Python,149,Q1 2026,35,96
Data Engineer,TCS,Hyderabad,Junior (1-3 yrs),MSc,739271,7.4,Kafka|SQL|ETL,Kafka,63,Q2 2026,30,93
QA Engineer,Zomato,Hyderabad,Senior (5+ yrs),M.Tech,834626,8.3,SQL|Python|Git|API Testing|Selenium,SQL,105,Q1 2026,10,72
Data Analyst,Amazon India,Mumbai,Mid (3-5 yrs),M.Tech,856877,8.6,R|Tableau|Python|Power BI|SQL,R,179,Q4 2025,22,92
Business Analyst,Mphasis,Gurgaon,Junior (1-3 yrs),MCA,578334,5.8,Power BI|Tableau|Excel|Agile,Power BI,6,Q2 2026,18,87
QA Engineer,Capgemini,Hyderabad,Senior (5+ yrs),MSc,842676,8.4,JIRA|SQL|API Testing|Manual Testing,JIRA,173,Q4 2025,10,72
AI/ML Researcher,Infosys,Pune,Fresher (0-1 yr),MBA,717034,7.2,PyTorch|LLMs|Python,PyTorch,27,Q2 2026,42,98
Data Engineer,Genpact,Bangalore,Junior (1-3 yrs),BCA,729627,7.3,SQL|Airflow|AWS|ETL|Spark,SQL,11,Q2 2026,30,93
Product Analyst,Genpact,Bangalore,Junior (1-3 yrs),BSc,838344,8.4,Excel|Mixpanel|Python|Power BI|A/B Testing,Excel,17,Q2 2026,20,85
AI/ML Researcher,Paytm,Gurgaon,Junior (1-3 yrs),MSc,978195,9.8,Research|LLMs|PyTorch,Research,79,Q2 2026,42,98
QA Engineer,Tiger Analytics,Bangalore,Junior (1-3 yrs),MCA,577292,5.8,Manual Testing|SQL|Git,Manual Testing,173,Q4 2025,10,72
Product Analyst,PhonePe,Bangalore,Junior (1-3 yrs),BCA,688249,6.9,Power BI|Mixpanel|Python,Power BI,110,Q1 2026,20,85
Product Analyst,Amazon India,Pune,Junior (1-3 yrs),M.Tech,631103,6.3,Python|A/B Testing|Google Analytics|Mixpanel|Power BI,Python,21,Q2 2026,20,85
Data Scientist,Paytm,Pune,Junior (1-3 yrs),MSc,775596,7.8,TensorFlow|Machine Learning|Scikit-learn,TensorFlow,37,Q2 2026,28,95
Data Analyst,Razorpay,Bangalore,Mid (3-5 yrs),MSc,752111,7.5,Excel|R|Statistics,Excel,49,Q2 2026,22,92
Product Analyst,Google India,Hyderabad,Fresher (0-1 yr),BSc,535744,5.4,SQL|Mixpanel|Google Analytics|Python|Excel,SQL,178,Q4 2025,20,85
Data Engineer,IBM India,Bangalore,Senior (5+ yrs),B.Tech,1838814,18.4,Spark|Hadoop|Airflow|AWS,Spark,143,Q1 2026,30,93
Data Engineer,Hexaware,Chennai,Junior (1-3 yrs),MSc,798205,8.0,Hadoop|ETL|AWS|Airflow|SQL,Hadoop,121,Q1 2026,30,93
ML Engineer,WNS Global,Mumbai,Mid (3-5 yrs),MSc,1548205,15.5,CI/CD|Kubernetes|TensorFlow|PyTorch|MLOps,CI/CD,19,Q2 2026,35,96
Product Analyst,Amazon India,Bangalore,Junior (1-3 yrs),BCA,760128,7.6,Python|Mixpanel|Excel,Python,98,Q1 2026,20,85
QA Engineer,Wipro,Mumbai,Junior (1-3 yrs),MBA,598523,6.0,Manual Testing|Git|Selenium|Python|SQL,Manual Testing,99,Q1 2026,10,72
AI/ML Researcher,Tiger Analytics,Pune,Fresher (0-1 yr),MSc,617297,6.2,Generative AI|Mathematics|Python|LLMs|Deep Learning,Generative AI,99,Q1 2026,42,98
BI Developer,Flipkart,Chennai,Junior (1-3 yrs),BSc,473259,4.7,Azure|Excel|SQL|Tableau|Power BI,Azure,69,Q2 2026,15,80
ML Engineer,Amazon India,Bangalore,Mid (3-5 yrs),MSc,1204801,12.0,PyTorch|AWS|MLOps|TensorFlow,PyTorch,159,Q1 2026,35,96
Data Engineer,PhonePe,Gurgaon,Junior (1-3 yrs),B.Tech,709405,7.1,Hadoop|SQL|Airflow,Hadoop,46,Q2 2026,30,93
Data Analyst,Accenture,Hyderabad,Junior (1-3 yrs),MBA,538376,5.4,Power BI|Excel|R|SQL,Power BI,120,Q1 2026,22,92
Data Analyst,Microsoft India,Pune,Fresher (0-1 yr),B.Tech,331070,3.3,SQL|R|Python|Statistics|Tableau,SQL,159,Q1 2026,22,92
Business Analyst,Fractal Analytics,Bangalore,Fresher (0-1 yr),MCA,519182,5.2,Stakeholder Management|Power BI|Tableau|Excel,Stakeholder Management,155,Q1 2026,18,87
QA Engineer,HCL Technologies,Mumbai,Mid (3-5 yrs),MCA,684159,6.8,Selenium|API Testing|Git|JIRA,Selenium,147,Q1 2026,10,72
QA Engineer,Google India,Chennai,Senior (5+ yrs),MCA,784342,7.8,API Testing|SQL|Python,API Testing,26,Q2 2026,10,72
QA Engineer,Fractal Analytics,Bangalore,Mid (3-5 yrs),B.Tech,763006,7.6,Git|Selenium|JIRA|Manual Testing|API Testing,Git,94,Q1 2026,10,72
Data Analyst,Infosys,Pune,Mid (3-5 yrs),MSc,630155,6.3,SQL|Excel|Power BI|Tableau,SQL,39,Q2 2026,22,92
ML Engineer,Mu Sigma,Mumbai,Junior (1-3 yrs),MSc,1094584,10.9,CI/CD|MLOps|AWS|Docker|PyTorch,CI/CD,82,Q1 2026,35,96
BI Developer,Wipro,Noida,Junior (1-3 yrs),M.Tech,466081,4.7,Azure|Tableau|Excel,Azure,156,Q1 2026,15,80
QA Engineer,Razorpay,Bangalore,Senior (5+ yrs),MCA,1235875,12.4,Python|JIRA|SQL|API Testing,Python,71,Q2 2026,10,72
BI Developer,Capgemini,Mumbai,Junior (1-3 yrs),BCA,690095,6.9,Power BI|SQL|Tableau,Power BI,125,Q1 2026,15,80
Data Engineer,Razorpay,Bangalore,Mid (3-5 yrs),M.Tech,1070172,10.7,Python|ETL|Spark|SQL,Python,103,Q1 2026,30,93
QA Engineer,PhonePe,Bangalore,Junior (1-3 yrs),BCA,454591,4.5,JIRA|Manual Testing|API Testing|Git|Python,JIRA,179,Q4 2025,10,72
ML Engineer,IBM India,Bangalore,Fresher (0-1 yr),MCA,789962,7.9,TensorFlow|Kubernetes|Docker|CI/CD,TensorFlow,49,Q2 2026,35,96
Data Scientist,LatentView,Hyderabad,Junior (1-3 yrs),MSc,875725,8.8,TensorFlow|Python|Machine Learning|Statistics|PyTorch,TensorFlow,92,Q1 2026,28,95
Business Analyst,Zomato,Bangalore,Fresher (0-1 yr),B.Tech,503286,5.0,Agile|Power BI|Excel,Agile,163,Q1 2026,18,87
BI Developer,Mphasis,Hyderabad,Fresher (0-1 yr),MBA,452737,4.5,Tableau|Azure|DAX|SQL,Tableau,13,Q2 2026,15,80
Data Scientist,HCL Technologies,Noida,Mid (3-5 yrs),M.Tech,869565,8.7,Machine Learning|TensorFlow|PyTorch|Python,Machine Learning,38,Q2 2026,28,95
Business Analyst,Deloitte,Pune,Fresher (0-1 yr),MCA,378557,3.8,Agile|JIRA|Tableau,Agile,152,Q1 2026,18,87
Product Analyst,CRED,Bangalore,Junior (1-3 yrs),M.Tech,639061,6.4,Mixpanel|A/B Testing|Google Analytics|Power BI,Mixpanel,145,Q1 2026,20,85
QA Engineer,LatentView,Pune,Fresher (0-1 yr),MSc,360165,3.6,SQL|Python|JIRA,SQL,169,Q1 2026,10,72
Data Analyst,Zomato,Bangalore,Fresher (0-1 yr),B.Tech,439144,4.4,Excel|Tableau|Statistics|R,Excel,74,Q2 2026,22,92
Data Analyst,Deloitte,Bangalore,Mid (3-5 yrs),M.Tech,794140,7.9,Tableau|Python|Power BI,Tableau,160,Q1 2026,22,92
Data Engineer,Accenture,Noida,Junior (1-3 yrs),BCA,609873,6.1,Spark|ETL|SQL,Spark,18,Q2 2026,30,93
Data Analyst,Paytm,Noida,Mid (3-5 yrs),BCA,651294,6.5,Excel|SQL|R|Power BI,Excel,179,Q4 2025,22,92
ML Engineer,Zomato,Bangalore,Junior (1-3 yrs),B.Tech,975379,9.8,Python|MLOps|Kubernetes|PyTorch|Docker,Python,6,Q2 2026,35,96
Data Analyst,WNS Global,Chennai,Senior (5+ yrs),BCA,1024560,10.2,R|Tableau|Power BI,R,147,Q1 2026,22,92
Data Analyst,Razorpay,Mumbai,Junior (1-3 yrs),M.Tech,613839,6.1,Python|Statistics|Excel|Tableau,Python,23,Q2 2026,22,92
ML Engineer,Amazon India,Hyderabad,Mid (3-5 yrs),MSc,1474446,14.7,Kubernetes|MLOps|CI/CD,Kubernetes,126,Q1 2026,35,96
Data Scientist,WNS Global,Chennai,Mid (3-5 yrs),B.Tech,976085,9.8,Machine Learning|Statistics|Scikit-learn|PyTorch,Machine Learning,29,Q2 2026,28,95
AI/ML Researcher,CRED,Hyderabad,Mid (3-5 yrs),B.Tech,1339124,13.4,Mathematics|PyTorch|Generative AI|Research|Python,Mathematics,48,Q2 2026,42,98
Data Engineer,Razorpay,Pune,Mid (3-5 yrs),MSc,1090574,10.9,Airflow|Spark|AWS,Airflow,33,Q2 2026,30,93
AI/ML Researcher,Tiger Analytics,Hyderabad,Junior (1-3 yrs),B.Tech,1218972,12.2,PyTorch|Deep Learning|Research|LLMs|Generative AI,PyTorch,3,Q2 2026,42,98
Data Engineer,WNS Global,Bangalore,Senior (5+ yrs),M.Tech,1716068,17.2,Spark|Airflow|Kafka,Spark,74,Q2 2026,30,93
Data Engineer,WNS Global,Bangalore,Junior (1-3 yrs),M.Tech,947831,9.5,ETL|AWS|SQL,ETL,98,Q1 2026,30,93
Business Analyst,LatentView,Pune,Senior (5+ yrs),MSc,1118647,11.2,Power BI|JIRA|Tableau,Power BI,129,Q1 2026,18,87
Data Scientist,LatentView,Bangalore,Junior (1-3 yrs),BCA,902803,9.0,Deep Learning|Scikit-learn|Machine Learning|SQL|TensorFlow,Deep Learning,88,Q1 2026,28,95
Python Developer,Google India,Mumbai,Junior (1-3 yrs),MBA,703746,7.0,REST APIs|SQL|AWS,REST APIs,59,Q2 2026,24,89
BI Developer,Amazon India,Hyderabad,Mid (3-5 yrs),BSc,694417,6.9,Tableau|SSRS|SQL|Azure,Tableau,9,Q2 2026,15,80
Business Analyst,Amazon India,Chennai,Senior (5+ yrs),MSc,911483,9.1,SQL|Agile|JIRA|Tableau,SQL,36,Q2 2026,18,87
ML Engineer,Tech Mahindra,Pune,Fresher (0-1 yr),MSc,510487,5.1,Kubernetes|Docker|CI/CD|MLOps,Kubernetes,166,Q1 2026,35,96
Data Analyst,Fractal Analytics,Bangalore,Senior (5+ yrs),M.Tech,1242907,12.4,Tableau|R|Excel|SQL,Tableau,158,Q1 2026,22,92
Data Analyst,Deloitte,Pune,Senior (5+ yrs),BSc,947880,9.5,Excel|SQL|Tableau,Excel,113,Q1 2026,22,92
Business Analyst,Infosys,Bangalore,Fresher (0-1 yr),MSc,468151,4.7,Power BI|Tableau|Stakeholder Management,Power BI,110,Q1 2026,18,87
Business Analyst,PhonePe,Pune,Mid (3-5 yrs),MCA,906281,9.1,Excel|SQL|Agile,Excel,97,Q1 2026,18,87
QA Engineer,PhonePe,Bangalore,Fresher (0-1 yr),M.Tech,343830,3.4,JIRA|Manual Testing|Git|Selenium|Python,JIRA,73,Q2 2026,10,72
QA Engineer,Swiggy,Bangalore,Senior (5+ yrs),BCA,1027268,10.3,SQL|Manual Testing|JIRA|Git,SQL,77,Q2 2026,10,72
Business Analyst,Razorpay,Hyderabad,Fresher (0-1 yr),M.Tech,463385,4.6,Power BI|Agile|Tableau|Stakeholder Management|SQL,Power BI,168,Q1 2026,18,87
Python Developer,Mphasis,Bangalore,Mid (3-5 yrs),BSc,941240,9.4,AWS|Git|FastAPI,AWS,58,Q2 2026,24,89
QA Engineer,Mu Sigma,Hyderabad,Fresher (0-1 yr),MBA,293732,2.9,Git|SQL|Python|Selenium|JIRA,Git,165,Q1 2026,10,72
Data Analyst,TCS,Mumbai,Junior (1-3 yrs),BSc,544208,5.4,SQL|Power BI|Tableau,SQL,106,Q1 2026,22,92
Business Analyst,Zomato,Bangalore,Senior (5+ yrs),MBA,1163308,11.6,Agile|Power BI|Excel|Stakeholder Management|Tableau,Agile,75,Q2 2026,18,87
Product Analyst,HCL Technologies,Bangalore,Junior (1-3 yrs),B.Tech,843462,8.4,Mixpanel|Python|Google Analytics,Mixpanel,142,Q1 2026,20,85
Python Developer,Infosys,Noida,Junior (1-3 yrs),B.Tech,688768,6.9,Docker|AWS|Git|FastAPI,Docker,149,Q1 2026,24,89
Python Developer,Microsoft India,Pune,Fresher (0-1 yr),MCA,462113,4.6,Python|SQL|Git|FastAPI,Python,156,Q1 2026,24,89
Data Scientist,WNS Global,Bangalore,Junior (1-3 yrs),BSc,1009479,10.1,Scikit-learn|Python|Machine Learning|Deep Learning,Scikit-learn,9,Q2 2026,28,95
Python Developer,HCL Technologies,Hyderabad,Fresher (0-1 yr),BCA,522653,5.2,Git|REST APIs|FastAPI,Git,171,Q4 2025,24,89
AI/ML Researcher,Zomato,Mumbai,Junior (1-3 yrs),BSc,1047102,10.5,Deep Learning|Generative AI|Python|Research|LLMs,Deep Learning,104,Q1 2026,42,98
AI/ML Researcher,Tiger Analytics,Bangalore,Junior (1-3 yrs),M.Tech,1390225,13.9,Deep Learning|LLMs|Python|Research,Deep Learning,139,Q1 2026,42,98
AI/ML Researcher,TCS,Pune,Junior (1-3 yrs),MCA,1058714,10.6,Mathematics|Generative AI|Python,Mathematics,169,Q1 2026,42,98
Data Scientist,Infosys,Pune,Fresher (0-1 yr),MBA,579949,5.8,Statistics|Scikit-learn|TensorFlow,Statistics,52,Q2 2026,28,95
Data Analyst,Accenture,Mumbai,Junior (1-3 yrs),MSc,665597,6.7,Power BI|Python|Statistics,Power BI,0,Q2 2026,22,92
Data Scientist,Tech Mahindra,Kolkata,Junior (1-3 yrs),MSc,642918,6.4,Machine Learning|PyTorch|Python,Machine Learning,33,Q2 2026,28,95
Data Analyst,IBM India,Mumbai,Junior (1-3 yrs),B.Tech,508232,5.1,Power BI|SQL|Python,Power BI,107,Q1 2026,22,92
Data Engineer,Razorpay,Mumbai,Junior (1-3 yrs),MBA,752747,7.5,SQL|Airflow|AWS|ETL|Python,SQL,168,Q1 2026,30,93
Data Engineer,Infosys,Hyderabad,Fresher (0-1 yr),M.Tech,531027,5.3,Hadoop|Kafka|Python|Airflow,Hadoop,113,Q1 2026,30,93
Data Analyst,Paytm,Bangalore,Fresher (0-1 yr),MCA,467163,4.7,Statistics|Tableau|R|Power BI,Statistics,97,Q1 2026,22,92
AI/ML Researcher,Swiggy,Pune,Junior (1-3 yrs),M.Tech,1173359,11.7,Mathematics|Research|Python,Mathematics,167,Q1 2026,42,98
QA Engineer,LatentView,Mumbai,Senior (5+ yrs),M.Tech,842971,8.4,Python|Manual Testing|JIRA|SQL,Python,102,Q1 2026,10,72
ML Engineer,Flipkart,Bangalore,Junior (1-3 yrs),MBA,1041106,10.4,PyTorch|Kubernetes|MLOps|Python,PyTorch,23,Q2 2026,35,96
BI Developer,HCL Technologies,Bangalore,Mid (3-5 yrs),MBA,882041,8.8,Excel|Power BI|Azure,Excel,143,Q1 2026,15,80
Data Engineer,Flipkart,Mumbai,Junior (1-3 yrs),BSc,751096,7.5,Python|Spark|AWS|Hadoop,Python,90,Q1 2026,30,93
Business Analyst,Tech Mahindra,Hyderabad,Mid (3-5 yrs),MCA,741748,7.4,Power BI|Agile|Tableau,Power BI,29,Q2 2026,18,87
Product Analyst,Genpact,Pune,Junior (1-3 yrs),BCA,592052,5.9,A/B Testing|Excel|Mixpanel|SQL|Power BI,A/B Testing,168,Q1 2026,20,85
BI Developer,Cognizant,Bangalore,Junior (1-3 yrs),MSc,759931,7.6,DAX|Azure|Power BI|SQL,DAX,36,Q2 2026,15,80
Data Engineer,Tech Mahindra,Hyderabad,Mid (3-5 yrs),B.Tech,1023412,10.2,Airflow|ETL|Hadoop,Airflow,116,Q1 2026,30,93
Python Developer,LatentView,Hyderabad,Junior (1-3 yrs),BCA,693219,6.9,Django|Python|AWS|Docker|Git,Django,172,Q4 2025,24,89
Data Analyst,Flipkart,Hyderabad,Junior (1-3 yrs),M.Tech,598446,6.0,Power BI|Python|Statistics|SQL,Power BI,88,Q1 2026,22,92
ML Engineer,Fractal Analytics,Bangalore,Junior (1-3 yrs),BCA,988997,9.9,Docker|Python|TensorFlow|MLOps|AWS,Docker,1,Q2 2026,35,96
Data Scientist,EXL Service,Chennai,Fresher (0-1 yr),MBA,572092,5.7,PyTorch|Python|Scikit-learn|SQL,PyTorch,110,Q1 2026,28,95
Business Analyst,Tiger Analytics,Hyderabad,Fresher (0-1 yr),BCA,493494,4.9,Tableau|Power BI|SQL|JIRA|Stakeholder Management,Tableau,10,Q2 2026,18,87
ML Engineer,Wipro,Hyderabad,Senior (5+ yrs),BCA,1679476,16.8,AWS|Kubernetes|CI/CD|MLOps,AWS,74,Q2 2026,35,96
Business Analyst,Amazon India,Bangalore,Fresher (0-1 yr),BCA,466346,4.7,Tableau|Stakeholder Management|Power BI|SQL,Tableau,111,Q1 2026,18,87
BI Developer,PhonePe,Bangalore,Junior (1-3 yrs),B.Tech,615217,6.2,Azure|DAX|SSRS|SQL,Azure,85,Q1 2026,15,80
Product Analyst,Mu Sigma,Bangalore,Fresher (0-1 yr),BCA,468531,4.7,Mixpanel|Power BI|Excel,Mixpanel,165,Q1 2026,20,85
BI Developer,Tech Mahindra,Bangalore,Junior (1-3 yrs),MCA,555714,5.6,SQL|SSRS|Power BI|Azure|DAX,SQL,126,Q1 2026,15,80
ML Engineer,PhonePe,Pune,Junior (1-3 yrs),BCA,917030,9.2,Kubernetes|AWS|CI/CD|PyTorch|TensorFlow,Kubernetes,112,Q1 2026,35,96
Data Analyst,Deloitte,Hyderabad,Mid (3-5 yrs),BCA,770222,7.7,Power BI|Statistics|SQL,Power BI,79,Q2 2026,22,92
ML Engineer,Microsoft India,Bangalore,Mid (3-5 yrs),B.Tech,1207846,12.1,TensorFlow|Docker|AWS|Kubernetes|MLOps,TensorFlow,118,Q1 2026,35,96
Data Engineer,LatentView,Chennai,Senior (5+ yrs),M.Tech,1243078,12.4,Airflow|Spark|AWS|ETL|SQL,Airflow,15,Q2 2026,30,93
ML Engineer,WNS Global,Noida,Junior (1-3 yrs),BSc,976358,9.8,PyTorch|Python|TensorFlow,PyTorch,112,Q1 2026,35,96
AI/ML Researcher,Paytm,Hyderabad,Fresher (0-1 yr),MBA,701085,7.0,Generative AI|Mathematics|LLMs|Python,Generative AI,161,Q1 2026,42,98
QA Engineer,HCL Technologies,Bangalore,Junior (1-3 yrs),M.Tech,480620,4.8,JIRA|SQL|API Testing|Python,JIRA,85,Q1 2026,10,72
Data Analyst,Microsoft India,Pune,Junior (1-3 yrs),BSc,520458,5.2,Tableau|Excel|Python|SQL|Statistics,Tableau,143,Q1 2026,22,92
Python Developer,WNS Global,Noida,Fresher (0-1 yr),BSc,499500,5.0,Django|Docker|Git|REST APIs|FastAPI,Django,4,Q2 2026,24,89
Python Developer,Accenture,Bangalore,Junior (1-3 yrs),MSc,687953,6.9,REST APIs|Django|Git|Docker,REST APIs,19,Q2 2026,24,89
Data Scientist,CRED,Mumbai,Mid (3-5 yrs),MSc,1247491,12.5,Python|PyTorch|Statistics|TensorFlow|Machine Learning,Python,152,Q1 2026,28,95
Python Developer,WNS Global,Bangalore,Mid (3-5 yrs),BCA,1129965,11.3,AWS|Python|REST APIs,AWS,93,Q1 2026,24,89
QA Engineer,Swiggy,Bangalore,Mid (3-5 yrs),MSc,684669,6.8,Git|Manual Testing|Python|API Testing|SQL,Git,120,Q1 2026,10,72
AI/ML Researcher,Fractal Analytics,Bangalore,Senior (5+ yrs),M.Tech,2560273,25.6,Mathematics|LLMs|Generative AI|PyTorch,Mathematics,41,Q2 2026,42,98
BI Developer,Tech Mahindra,Noida,Senior (5+ yrs),B.Tech,1008819,10.1,Tableau|DAX|Excel|Power BI|SSRS,Tableau,132,Q1 2026,15,80
BI Developer,EXL Service,Bangalore,Fresher (0-1 yr),M.Tech,474321,4.7,SQL|Tableau|Power BI|Azure|SSRS,SQL,89,Q1 2026,15,80
AI/ML Researcher,Google India,Hyderabad,Junior (1-3 yrs),MCA,1170335,11.7,Python|LLMs|Deep Learning|Mathematics,Python,81,Q1 2026,42,98
AI/ML Researcher,Mu Sigma,Noida,Junior (1-3 yrs),MCA,1025070,10.3,Python|LLMs|Generative AI,Python,178,Q4 2025,42,98
BI Developer,Razorpay,Mumbai,Junior (1-3 yrs),B.Tech,543066,5.4,Power BI|DAX|SQL,Power BI,38,Q2 2026,15,80
Data Engineer,CRED,Mumbai,Junior (1-3 yrs),MSc,924851,9.2,Airflow|Spark|Python|Kafka,Airflow,61,Q2 2026,30,93
ML Engineer,Swiggy,Noida,Fresher (0-1 yr),MSc,553066,5.5,Python|Kubernetes|Docker|AWS,Python,61,Q2 2026,35,96
Product Analyst,Infosys,Bangalore,Mid (3-5 yrs),MCA,903108,9.0,Google Analytics|Python|SQL|Power BI|A/B Testing,Google Analytics,134,Q1 2026,20,85
Data Engineer,CRED,Mumbai,Junior (1-3 yrs),M.Tech,699714,7.0,Python|Kafka|Airflow|Spark,Python,64,Q2 2026,30,93
Product Analyst,Wipro,Hyderabad,Junior (1-3 yrs),BSc,692423,6.9,Excel|SQL|A/B Testing|Power BI|Mixpanel,Excel,11,Q2 2026,20,85
Python Developer,Mu Sigma,Bangalore,Fresher (0-1 yr),MSc,550096,5.5,AWS|Docker|REST APIs|Django|SQL,AWS,16,Q2 2026,24,89
Product Analyst,TCS,Chennai,Junior (1-3 yrs),B.Tech,491300,4.9,SQL|Power BI|Excel,SQL,131,Q1 2026,20,85
Python Developer,Razorpay,Noida,Junior (1-3 yrs),MSc,625773,6.3,REST APIs|FastAPI|Git|Python|Docker,REST APIs,69,Q2 2026,24,89
Business Analyst,Hexaware,Hyderabad,Junior (1-3 yrs),M.Tech,562024,5.6,Power BI|Excel|JIRA|Agile,Power BI,94,Q1 2026,18,87
